advertiser-role,available,brand,days-old,early-bird,id,neighbourhood,postcode,price-per-month,price-per-week,property-type,property-type-more,rooms-in-property,scp,status,title,type,error,date scraped
former flatmate,10 Feb,free,1,Early Bird,14533090,Lancaster Gate,W2,£9pcm,£3pw,flat,,3,,new today,Double room in central spacious flat,offered,False,2020-01-27 02:47:34.811272
current flatmate, 7 Mar,free,0,Early Bird,14539324,London N1,N1,£450pcm,£104pw,flat,,4,,new today,2 rooms available in Old Street/Angel in cozy flat,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,free,9,,2718081,Hoxton,N1,£450pcm,£104pw,flat,,2,,,Thursday to Monday Lets Only (Not a Full Time Let),offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,15,,9578062,Camberwell,SE5,£477pcm,£110pw,flat,,5,,,"Elephant and Castle,available single room !",offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,bold,17,,8287330,London SE1,SE1,£480pcm,£111pw,flat,,2,,,Double Room room to let  Mon-Fri,offered,False,2020-01-27 02:47:34.811272
current flatmate, 8 Mar,free,1,Early Bird,14533678,London N1,N1,£503pcm,£117pw,flat,,4,,new today,Spacious 17m2 room at King's Cross (March-August) ,offered,False,2020-01-27 02:47:34.811272
live in landlord, 4 Mar,free,0,Early Bird,6825523,Waterloo,SE1,£500pcm,£116pw,house,,3,,new,Singe Room in Waterloo - Monday  to Friday Only ,offered,False,2020-01-27 02:47:34.811272
former flatmate,Available Now,free,3,Early Bird,14521270,Old Street,EC1,£510pcm,£118pw,flat,,4,,new,"Cozy room – St Luke’s, near Old Street",offered,False,2020-01-27 02:47:34.811272
current flatmate,27 Jan,bold,0,,14079250,Elephant and Castle,SE17,£530pcm,£123pw,flat,,5,,new today,Single Room - Elephant & Castle - Close to center,offered,False,2020-01-27 02:47:34.811272
live out landlord,18 Feb,free,1,Early Bird,14532913,Vauxhall,SW8,£520pcm,£120pw,flat,,3,,new today,Double Room To Let- Vauxhall (£520 pcm) ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,10363465,Elephant and Castle,SE17,£520pcm,£120pw,flat,,4,,new,Cheap Single Westminster 1 stop,offered,False,2020-01-27 02:47:34.811272
current flatmate,15 Feb,free,10,,8296234,Essex Road,N1,£525pcm,£122pw,flat,,4,,,Good size room in amazing location-near Angel,offered,False,2020-01-27 02:47:34.811272
live in landlord, 8 Feb,free,14,,11320912,Kennington,SE11,£515pcm,£119pw,flat,,4,,,Single room in 4 bed ground floor flat,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,free,14,,14400250,Walworth,SE17,£525pcm,£122pw,flat,,2,,,Cosy Single Room in Great Location,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,free,14,,14243584,Marylebone,NW8,£520pcm,£120pw,flat,,4,,, Gay Friendly Room share in Marylebone ,offered,False,2020-01-27 02:47:34.811272
live out landlord,29 Jan,free,0,Early Bird,4463972,Elephant and Castle,SE1,£550pcm,£127pw,flat,,4,,new today,Bright Double Room,offered,False,2020-01-27 02:47:34.811272
current tenants, 1 Mar,free,0,Early Bird,14539039,London WC1H,WC1,"£1,500 pcm",£1pw,flat,,2,Y,new today,2 bed room flat avilable in kingscross zone 1,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,12658012,Liverpool Street,EC2,£550- £875pcm,£127- £202pw,flat,,9,,new,Twin/double/Single rooms in Liverpool Street! ,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,bold,1,,14531281,Aldgate,E1,£550pcm,£127pw,flat,,3,,new,Aldgate Modern Single Bed with Quiet Flatmates,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,13943965,Camberwell,SE5,£564pcm,£130pw,property,,5,,new,Two Cheap Singles Available in Zone 1. Move Asap!!,offered,False,2020-01-27 02:47:34.811272
agent,28 Jan,bold,3,,14522497,Elephant and Castle,SE1,£564pcm,£130pw,flat,,6,,new,Girls’ shared room in Elephant &Castle Av.Jan 28,offered,False,2020-01-27 02:47:34.811272
live in landlord,15 Apr,bold,3,,10863943,Kensington and Chelsea,SW10,£550pcm,£127pw,flat,,2,,new,Great Flat Share in West Brompton Near Earls Court,offered,False,2020-01-27 02:47:34.811272
